baseMean	log2FoldChange	lfcSE	pvalue	padj
HSMAR2	161.462786343798	0.0114569239327166	0.0577102766330886	0.447063400386263	0.999642617610237
HUERS-P1-int	32.258651696067	-0.0042555260852402	0.0580192362006462	0.54721210715483	0.999642617610237
HUERS-P2-int	9.40009687484621	-0.00213067318814074	0.0581520478846225	0.592684438850166	0.999642617610237
HUERS-P3-int	78.2804756566623	-0.00757068151150432	0.0578756500833322	0.48447886204604	0.999642617610237
HUERS-P3b-int	62.6960406171372	-0.00375174705158067	0.0575403814726272	0.702229741365783	0.999642617610237
Harlequin-int	128.63590726191	-0.00208296846999175	0.0565915639514566	0.883382859218806	0.999642617610237
Helitron1Na_Mam	5.06754894327489	0.00236449480368776	0.0582341646153205	0.409858366950934	0.999642617610237
Helitron1Nb_Mam	8.86740998872656	-0.00527801554308069	0.0584749211778529	0.152946847887563	0.999642617610237
Helitron3Na_Mam	29.1858389447721	-0.00237471597429346	0.0579374761842308	0.712137762761845	0.999642617610237
Kanga11a	12.7030589559643	-0.00435041823327321	0.0583134590757377	0.313292612151294	0.999642617610237
Kanga1	32.1827252719448	0.00531426552852077	0.0581427417460487	0.460838492603672	0.999642617610237
Kanga1a	28.550225897036	-0.000879336651068588	0.0578352279278288	0.971405417430841	0.999642617610237
Kanga1b	13.7183842528814	-0.000950634245711865	0.0580447823735829	0.841891292856763	0.999642617610237
Kanga1c	60.593705844525	-0.00377358013424442	0.0575677580113342	0.696700007745102	0.999642617610237
Kanga1d	33.3742959530277	0.00425548693451306	0.0580150882749195	0.553720501017217	0.999642617610237
Kanga2_a	80.4119374598245	0.0104584169854351	0.0585428021685564	0.335388011577584	0.999642617610237
L1HS	352.33562212955	-0.00712146338861367	0.0554480498491206	0.69789542045496	0.999642617610237
L1M1	426.123194795776	-0.0117544123072533	0.0552960345381217	0.569094212655168	0.999642617610237
L1M2	502.23800897958	0.00447851317032826	0.0534533268444664	0.837313722137193	0.999642617610237
L1M2a1	7.01441548458809	0.00205444044420398	0.058184059369157	0.552754620188094	0.999642617610237
L1M2a	35.1896998498153	0.00063553729247574	0.0577386357305186	0.93265118374325	0.999642617610237
L1M2b	5.93736501049744	-0.00122980116890856	0.0581689242925312	0.690190496251143	0.999642617610237
L1M2c	40.3357849217666	-0.00684069863328907	0.0582542144447589	0.39584272776023	0.999642617610237
L1M3	283.143429816483	0.006950558814382	0.0555177035453131	0.70371162321534	0.999642617610237
L1M3a	71.6565181270304	-0.00277918628103436	0.0574050968571843	0.783083603717651	0.999642617610237
L1M3b	9.56148605996733	1.68547068669054e-05	0.0580922331955178	0.99892980804557	0.999642617610237
L1M3c	30.0055135103226	-0.00250196335481612	0.0579038992915816	0.710630985141508	0.999642617610237
L1M3d	13.7476892950991	-0.00339192945755299	0.0581820350034908	0.475412164052389	0.999642617610237
L1M3de	10.319654688718	0.00111514726786585	0.0581050491705277	0.786149817600016	0.999642617610237
L1M3e	37.5214696935671	-0.00641310533811444	0.0582339833681092	0.405487279408246	0.999642617610237
L1M3f	94.5417579160405	-0.00574725704906405	0.0574035863746815	0.618879724887631	0.999642617610237
L1M4	1413.24628848408	0.0216215768680033	0.0536098163429193	0.348244634027847	0.999642617610237
L1M4a1	114.744403087475	0.005630679277489	0.0571320355202681	0.661666277065953	0.999642617610237
L1M4a2	92.2657075763663	0.00199254293500709	0.057090692086655	0.863688287080166	0.999642617610237
L1M4b	446.140277220498	-0.00597927026492747	0.0541199195362539	0.771891598352262	0.999642617610237
L1M4c	213.961526956783	-0.0173836800565635	0.0590669350936271	0.312565867928927	0.999642617610237
L1M5	3021.97687768499	0.0232454486329064	0.0528698230945466	0.412708841460325	0.999642617610237
L1M6	176.35782577213	0.0123603964602377	0.0577804858939437	0.429983720297707	0.999642617610237
L1M6B	250.381507380745	-0.0107168545545852	0.0566585901199853	0.420090104030971	0.999642617610237
L1M7	146.520875700399	-0.015531302672609	0.0592620545309201	0.285282734101232	0.999642617610237
L1M8	135.559766964554	0.0152155608279705	0.0592264226770702	0.283391529128997	0.999642617610237
L1M	21.2632095005773	0.00241502846109575	0.0580162490506268	0.67725803451999	0.999642617610237
L1MA10	122.453879673961	0.0030704578455416	0.0567498628663618	0.8171321470677	0.999642617610237
L1MA1	358.73064773929	-0.0195467728672021	0.0586326509632452	0.318266207168505	0.999642617610237
L1MA2	424.208851785643	-0.0162202234523507	0.0565962886115463	0.443695706896934	0.999642617610237
L1MA3	511.884498830841	-0.00399100662439579	0.0539273474052252	0.818749121837603	0.999642617610237
L1MA4	497.208401104017	0.0216780712048633	0.057934569823767	0.342913836303738	0.999642617610237
L1MA4A	575.008603227237	0.00404553144625593	0.0528961753509261	0.83916389361808	0.999642617610237
L1MA5	364.246418778178	0.00285696748944854	0.0544624582876377	0.884374669440685	0.999642617610237
L1MA5A	172.326928331529	0.00884272351833008	0.0569526286468998	0.565962435359919	0.999642617610237
L1MA6	229.067565631791	0.017244465775771	0.0593009229928211	0.294264269163734	0.999642617610237
L1MA7	260.264693753948	0.00249506847232765	0.0553135505601013	0.887624977096238	0.999642617610237
L1MA8	316.996725554524	-0.0110532547464674	0.0559662118513638	0.562934254937504	0.999642617610237
L1MA9	810.090205876271	-0.00740500838810085	0.0520730479718605	0.778530648527193	0.999642617610237
L1MB1	202.980613384758	0.00342871628061169	0.0559487066797541	0.830867038112378	0.999642617610237
L1MB2	542.569054201692	0.0149177573752395	0.0554263851228799	0.502515046391922	0.999642617610237
L1MB3	1204.6927821579	0.00240795115576376	0.0499487886209238	0.954064815935165	0.999642617610237
L1MB4	916.711720042473	0.0316950730807579	0.0607087521922005	0.228897366139291	0.999642617610237
L1MB5	698.355363522268	0.0223098407099425	0.0566789726324528	0.372012772295034	0.999642617610237
L1MB7	2105.51657308863	0.0306729793097041	0.05502958810776	0.304766276057563	0.999642617610237
L1MB8	1255.81894068801	0.0271671162728185	0.0562256755566274	0.325073052196547	0.999642617610237
L1MC1	852.438535645969	0.013556136429365	0.0529584356939659	0.586031507120802	0.999642617610237
L1MC2	371.18215350916	0.000978487970722637	0.054226328162083	0.961670566389539	0.999642617610237
L1MC3	731.697489198426	0.00184547625959894	0.0519942903739717	0.938363504060295	0.999642617610237
L1MC4	1801.43170562313	-0.00279083893694536	0.0498238312293891	0.91319937697476	0.999642617610237
L1MC4a	670.404369434516	0.00930631916930013	0.053119733699225	0.689371176980312	0.999642617610237
L1MC5	1360.4629901797	0.0325465971329688	0.0583543128008609	0.253838744577358	0.999642617610237
L1MC5a	1741.88588360826	0.0960891006175857	0.122791525463768	0.0291222994498216	0.999642617610237
L1MC	243.657117017813	0.00653993164635146	0.055923028629725	0.702083983442286	0.999642617610237
L1MCa	243.244582641716	-0.00972235203636928	0.0564801664761226	0.571376470208574	0.999642617610237
L1MCb	51.7387177670703	-0.00475269225987956	0.0577834445208666	0.599953742489946	0.999642617610237
L1MCc	98.1398722997052	-0.00973429060206268	0.0580769438768102	0.421794802096941	0.999642617610237
L1MD1	474.568048230699	0.0125902696840418	0.0551703310283189	0.562804517709274	0.999642617610237
L1MD2	785.341788069137	-0.00282314652118133	0.0519265234255435	0.903939910672432	0.999642617610237
L1MD3	397.66973685526	0.0253399722567089	0.0607327235964468	0.248565798823167	0.999642617610237
L1MD	456.03241724983	0.00727256615809481	0.0543720551819695	0.72580260337765	0.999642617610237
L1MDa	646.407977534032	0.0813629559327059	0.12000652958493	0.0322449635274107	0.999642617610237
L1MDb	27.1856590054425	0.00423694185603087	0.0580690129135988	0.528717735676343	0.999642617610237
L1ME1	2072.92445412015	0.0287141948567892	0.0540271753667408	0.334754293093927	0.999642617610237
L1ME2	875.958591102449	0.04689759905372	0.0728711087028333	0.107615647262408	0.999642617610237
L1ME2z	332.323611945847	0.00842452159711321	0.0553156214463832	0.683755316353767	0.999642617610237
L1ME3	530.80894995387	-0.000880941214220425	0.0531862607633683	0.966595346572368	0.999642617610237
L1ME3A	723.609901420724	0.0166403675600009	0.0551004443504856	0.4732349893132	0.999642617610237
L1ME3B	554.819060930925	-0.00130703273141892	0.0534563294548325	0.949907819507094	0.999642617610237
L1ME3C	201.319899322175	-0.00172150318597246	0.0559110966096831	0.911638436731828	0.999642617610237
L1ME3Cz	545.172204512315	0.0244884934058422	0.0591630153044461	0.293848295635146	0.999642617610237
L1ME3D	229.515400885416	0.0141890167126103	0.0578057167886484	0.409128281344908	0.999642617610237
L1ME3E	224.591205256885	0.00434802906205887	0.055885150423683	0.791547315764328	0.999642617610237
L1ME3F	324.646238221631	-0.000572794864994715	0.0545817088216748	0.973925093751932	0.999642617610237
L1ME3G	929.310328964261	0.0365652479823967	0.0633409299840705	0.188053954197125	0.999642617610237
L1ME4a	1419.11147636029	0.0234187029803453	0.0555587454606407	0.37295518057754	0.999642617610237
L1ME4b	1302.1170788017	0.028829233692713	0.0569442487952232	0.297492413840991	0.999642617610237
L1ME4c	488.497294706176	0.0247844269518226	0.0612053429919793	0.230635893137528	0.999642617610237
L1ME5	92.6946509120059	0.000926572250130286	0.0570192047509414	0.9379530431873	0.999642617610237
L1MEa	14.1265273518102	-0.000216060895896405	0.0580376846294669	0.961572637568449	0.999642617610237
L1MEb	162.602206935233	-0.0235851299081723	0.0629076722222019	0.135527388981363	0.999642617610237
L1MEc	999.83145256482	0.00624805580134574	0.0515213331693506	0.801050253068405	0.999642617610237
L1MEd	1141.6365866655	0.037367717718189	0.0623057950065922	0.197778627783705	0.999642617610237
L1MEf	576.058659501884	0.00262085211595627	0.053067161054722	0.90609012469442	0.999642617610237
L1MEg1	30.3305637315701	-0.00657300420746906	0.0583536011373975	0.347585345495069	0.999642617610237
L1MEg2	16.9173295085646	-0.00241142498699208	0.0580693505609909	0.642479641662288	0.999642617610237
L1MEg	704.849227177971	0.0144026780536615	0.0547428934470176	0.534584581179643	0.999642617610237
L1MEh	96.7596753777517	0.00211511662582644	0.0571037692074087	0.854889650638909	0.999642617610237
L1MEi	312.633740223103	0.0211878598093268	0.0598200674259158	0.273680002144874	0.999642617610237
L1MEj	161.844443067467	-0.0139261092887616	0.0584305334370611	0.360098266764321	0.999642617610237
L1P1	320.542790184771	0.0153299119436478	0.0573636059481686	0.420147761395947	0.999642617610237
L1P2	172.694347585507	-0.00788584190443061	0.056895973436425	0.59591989042281	0.999642617610237
L1P3	178.038778145677	0.00815557412357012	0.0567457246617532	0.601007960200744	0.999642617610237
L1P3b	1.48752473061223	-0.000392240055253852	0.0582135416594888	0.795837294207685	0.999642617610237
L1P4	131.767464352696	0.00672995845040301	0.0570340407638511	0.629401394839035	0.999642617610237
L1P4b	2.22077735737605	9.85822486695071e-05	0.0581973587261405	0.963571257585299	0.999642617610237
